description,chance-success
"health: 0.62
strength: 0.33
dexterity: 0.48
perception: 0.69
intelligence: 0.89
charisma: 0.40
stamina: 0.52
<DM>A group of scholars debate a difficult philosophical question.</DM>
<Player>I provide an insightful argument using my knowledge and reasoning.</Player>",0.91
"health: 0.74
strength: 0.42
dexterity: 0.56
perception: 0.74
intelligence: 0.93
charisma: 0.45
stamina: 0.53
<DM>You come across a coded message hidden in an old journal.</DM>
<Player>I attempt to decipher the message using pattern recognition.</Player>",0.95
"health: 0.68
strength: 0.37
dexterity: 0.53
perception: 0.70
intelligence: 0.94
charisma: 0.43
stamina: 0.50
<DM>A merchant tries to convince you that a gem is magical.</DM>
<Player>I analyze the gem to determine if his claim is true.</Player>",0.94
"health: 0.72
strength: 0.61
dexterity: 0.50
perception: 0.66
intelligence: 0.12
charisma: 0.40
stamina: 0.58
<DM>You find an ancient book filled with strange symbols.</DM>
<Player>I attempt to translate the text.</Player>",0.15
"health: 0.68
strength: 0.75
dexterity: 0.55
perception: 0.62
intelligence: 0.10
charisma: 0.48
stamina: 0.67
<DM>A noble presents you with a complex riddle.</DM>
<Player>I think really hard and try to solve it.</Player>",0.12
"health: 0.70
strength: 0.80
dexterity: 0.60
perception: 0.64
intelligence: 0.14
charisma: 0.42
stamina: 0.63
<DM>A merchant tries to sell you a ""magic"" rock.</DM>
<Player>I carefully analyze whether it's actually magical.</Player>",0.2
"health: 0.64
strength: 0.78
dexterity: 0.51
perception: 0.60
intelligence: 0.09
charisma: 0.55
stamina: 0.70
<DM>You stumble upon an old machine with a missing part.</DM>
<Player>I figure out how to repair it.</Player>",0.1
"health: 0.66
strength: 0.69
dexterity: 0.58
perception: 0.68
intelligence: 0.13
charisma: 0.50
stamina: 0.65
<DM>A group of scholars are debating an ethical dilemma.</DM>
<Player>I join in and provide a thoughtful argument.</Player>",0.18
"health: 0.75
strength: 0.77
dexterity: 0.59
perception: 0.70
intelligence: 0.11
charisma: 0.52
stamina: 0.73
<DM>A locked chest has an inscription with a hint.</DM>
<Player>I solve the puzzle to open the chest.</Player>",0.14
"health: 0.71
strength: 0.82
dexterity: 0.62
perception: 0.69
intelligence: 0.08
charisma: 0.47
stamina: 0.68
<DM>You overhear two thieves whispering in code.</DM>
<Player>I decipher their secret message.</Player>",0.1
"health: 0.69
strength: 0.79
dexterity: 0.57
perception: 0.71
intelligence: 0.12
charisma: 0.46
stamina: 0.66
<DM>You find a map with a set of coordinates.</DM>
<Player>I analyze the map to determine the best route.</Player>",0.16
"health: 0.73
strength: 0.74
dexterity: 0.54
perception: 0.67
intelligence: 0.10
charisma: 0.49
stamina: 0.72
<DM>A wizard presents you with a logic puzzle to test your worth.</DM>
<Player>I try my best to solve it.</Player>",0.13
"health: 0.76
strength: 0.81
dexterity: 0.61
perception: 0.72
intelligence: 0.07
charisma: 0.44
stamina: 0.69
<DM>A strange device hums in front of you, covered in buttons and dials.</DM>
<Player>I figure out how to use it.</Player>",0.09
"health: 0.72
strength: 0.50
dexterity: 0.48
perception: 0.60
intelligence: 0.55
charisma: 0.90
stamina: 0.62
<DM>You approach a guarded gate. The guard looks wary.</DM>
<Player>I confidently persuade the guard to let me through.</Player>",0.95
"health: 0.68
strength: 0.52
dexterity: 0.51
perception: 0.65
intelligence: 0.58
charisma: 0.88
stamina: 0.60
<DM>A merchant offers you an expensive item.</DM>
<Player>I negotiate for a lower price.</Player>",0.92
"health: 0.70
strength: 0.47
dexterity: 0.56
perception: 0.63
intelligence: 0.61
charisma: 0.91
stamina: 0.64
<DM>A noble seems hesitant to share information.</DM>
<Player>I flatter them and gain their trust.</Player>",0.94
"health: 0.74
strength: 0.49
dexterity: 0.50
perception: 0.58
intelligence: 0.57
charisma: 0.87
stamina: 0.67
<DM>You enter a tavern filled with suspicious characters.</DM>
<Player>I befriend the locals to gather information.</Player>",0.9
"health: 0.76
strength: 0.55
dexterity: 0.53
perception: 0.62
intelligence: 0.59
charisma: 0.89
stamina: 0.69
<DM>An official is reluctant to grant you a permit.</DM>
<Player>I charm them into approving it.</Player>",0.93
"health: 0.71
strength: 0.51
dexterity: 0.54
perception: 0.66
intelligence: 0.60
charisma: 0.92
stamina: 0.65
<DM>A furious blacksmith accuses you of stealing.</DM>
<Player>I talk my way out of trouble.</Player>",0.95
"health: 0.67
strength: 0.48
dexterity: 0.52
perception: 0.61
intelligence: 0.56
charisma: 0.86
stamina: 0.68
<DM>A traveling performer is looking for a new partner.</DM>
<Player>I audition with a dazzling speech.</Player>",0.91
"health: 0.73
strength: 0.50
dexterity: 0.49
perception: 0.59
intelligence: 0.55
charisma: 0.90
stamina: 0.63
<DM>A beggar asks for coin.</DM>
<Player>I convince them that I need it more.</Player>",0.92
"health: 0.78
strength: 0.53
dexterity: 0.58
perception: 0.64
intelligence: 0.62
charisma: 0.88
stamina: 0.71
<DM>A rival adventurer challenges you to a duel.</DM>
<Player>I talk them down and turn them into an ally instead.</Player>",0.93
"health: 0.69
strength: 0.46
dexterity: 0.55
perception: 0.67
intelligence: 0.58
charisma: 0.89
stamina: 0.66
<DM>A skeptical audience watches your speech.</DM>
<Player>I deliver a rousing speech that wins them over.</Player>",0.94
"health: 0.72
strength: 0.58
dexterity: 0.50
perception: 0.60
intelligence: 0.65
charisma: 0.12
stamina: 0.64
<DM>The guard at the city gate eyes you suspiciously.</DM>
<Player>I try to sweet-talk my way in.</Player>",0.25
"health: 0.70
strength: 0.61
dexterity: 0.47
perception: 0.63
intelligence: 0.60
charisma: 0.15
stamina: 0.68
<DM>A merchant offers an item at an absurdly high price.</DM>
<Player>I attempt to haggle for a discount.</Player>",0.3
"health: 0.68
strength: 0.55
dexterity: 0.52
perception: 0.65
intelligence: 0.58
charisma: 0.10
stamina: 0.62
<DM>A noblewoman looks at you with disdain.</DM>
<Player>I flatter her to gain her favor.</Player>",0.2
"health: 0.71
strength: 0.57
dexterity: 0.51
perception: 0.61
intelligence: 0.54
charisma: 0.14
stamina: 0.65
<DM>A group of adventurers is looking for a new member.</DM>
<Player>I introduce myself and try to impress them.</Player>",0.28
"health: 0.73
strength: 0.60
dexterity: 0.50
perception: 0.59
intelligence: 0.55
charisma: 0.11
stamina: 0.67
<DM>The town's mayor is hesitant to help.</DM>
<Player>I make an impassioned plea for assistance.</Player>",0.22
"health: 0.76
strength: 0.65
dexterity: 0.49
perception: 0.58
intelligence: 0.60
charisma: 0.09
stamina: 0.70
<DM>You accidentally bump into a rough-looking mercenary.</DM>
<Player>I apologize and try to smooth things over.</Player>",0.18
"health: 0.69
strength: 0.59
dexterity: 0.56
perception: 0.66
intelligence: 0.61
charisma: 0.13
stamina: 0.64
<DM>A suspicious shopkeeper eyes you warily.</DM>
<Player>I convince him that I’m trustworthy.</Player>",0.27
"health: 0.75
strength: 0.62
dexterity: 0.53
perception: 0.63
intelligence: 0.57
charisma: 0.08
stamina: 0.72
<DM>A traveling bard challenges you to a storytelling contest.</DM>
<Player>I tell an epic tale.</Player>",0.15
"health: 0.72
strength: 0.60
dexterity: 0.54
perception: 0.62
intelligence: 0.56
charisma: 0.12
stamina: 0.66
<DM>A beggar asks for coin.</DM>
<Player>I convince them to be self-reliant instead.</Player>",0.23
"health: 0.74
strength: 0.58
dexterity: 0.52
perception: 0.60
intelligence: 0.55
charisma: 0.07
stamina: 0.68
<DM>A furious innkeeper demands payment for a room.</DM>
<Player>I try to talk my way into staying for free.</Player>",0.1
"health: 0.85
strength: 0.60
dexterity: 0.52
perception: 0.50
intelligence: 0.62
charisma: 0.70
stamina: 0.90
<DM>You are running through a dense forest, being chased by a wild animal.</DM>
<Player>I sprint as fast as I can to escape.</Player>",0.95
"health: 0.78
strength: 0.50
dexterity: 0.65
perception: 0.53
intelligence: 0.60
charisma: 0.68
stamina: 0.88
<DM>You need to swim across a raging river.</DM>
<Player>I swim with all my energy to reach the other side.</Player>",0.9
"health: 0.79
strength: 0.62
dexterity: 0.58
perception: 0.57
intelligence: 0.65
charisma: 0.66
stamina: 0.85
<DM>You are climbing a steep mountain trail with little rest.</DM>
<Player>I push myself to keep climbing despite the exhaustion.</Player>",0.92
"health: 0.80
strength: 0.55
dexterity: 0.61
perception: 0.59
intelligence: 0.63
charisma: 0.64
stamina: 0.82
<DM>You are running a marathon.</DM>
<Player>I pace myself, but continue running at a steady rate.</Player>",0.9
"health: 0.72
strength: 0.58
dexterity: 0.64
perception: 0.56
intelligence: 0.61
charisma: 0.62
stamina: 0.91
<DM>You are participating in a triathlon, consisting of swimming, biking, and running.</DM>
<Player>I focus on conserving energy in each leg to finish strong.</Player>",0.93
"health: 0.81
strength: 0.63
dexterity: 0.60
perception: 0.62
intelligence: 0.68
charisma: 0.67
stamina: 0.87
<DM>You are in a long-distance hike through the desert under the scorching sun.</DM>
<Player>I continue walking, pacing myself with regular water breaks.</Player>",0.94
"health: 0.75
strength: 0.67
dexterity: 0.59
perception: 0.55
intelligence: 0.61
charisma: 0.63
stamina: 0.90
<DM>You are performing a physically exhausting task for several hours straight, like carrying heavy loads.</DM>
<Player>I keep a steady rhythm, relying on my stamina to carry me through.</Player>",0.92
"health: 0.83
strength: 0.70
dexterity: 0.65
perception: 0.58
intelligence: 0.66
charisma: 0.61
stamina: 0.89
<DM>You are playing a physically demanding sport for an extended period, like soccer or rugby.</DM>
<Player>I maintain my pace, using my stamina to outlast opponents.</Player>",0.91
"health: 0.80
strength: 0.63
dexterity: 0.56
perception: 0.61
intelligence: 0.62
charisma: 0.69
stamina: 0.83
<DM>You are running up a set of stairs, carrying heavy items.</DM>
<Player>I push through the strain, relying on my stamina to reach the top.</Player>",0.9
"health: 0.77
strength: 0.55
dexterity: 0.60
perception: 0.59
intelligence: 0.64
charisma: 0.66
stamina: 0.86
<DM>You are carrying out a long, drawn-out search through a large, dense forest.</DM>
<Player>I keep moving, conserving energy to last through the whole search.</Player>",0.91
"health: 0.75
strength: 0.55
dexterity: 0.60
perception: 0.61
intelligence: 0.62
charisma: 0.68
stamina: 0.20
<DM>You are running through a dense forest, being chased by a wild animal.</DM>
<Player>I sprint as fast as I can to escape.</Player>",0.25
"health: 0.80
strength: 0.65
dexterity: 0.59
perception: 0.62
intelligence: 0.66
charisma: 0.64
stamina: 0.30
<DM>You need to swim across a raging river.</DM>
<Player>I swim with all my energy to reach the other side.</Player>",0.4
"health: 0.72
strength: 0.60
dexterity: 0.58
perception: 0.57
intelligence: 0.64
charisma: 0.62
stamina: 0.15
<DM>You are climbing a steep mountain trail with little rest.</DM>
<Player>I push myself to keep climbing despite the exhaustion.</Player>",0.3
"health: 0.78
strength: 0.62
dexterity: 0.60
perception: 0.59
intelligence: 0.60
charisma: 0.67
stamina: 0.25
<DM>You are running a marathon.</DM>
<Player>I pace myself, but continue running at a steady rate.</Player>",0.35
"health: 0.80
strength: 0.63
dexterity: 0.55
perception: 0.62
intelligence: 0.63
charisma: 0.68
stamina: 0.20
<DM>You are participating in a triathlon, consisting of swimming, biking, and running.</DM>
<Player>I try to finish the race as quickly as I can.</Player>",0.25
"health: 0.75
strength: 0.59
dexterity: 0.60
perception: 0.55
intelligence: 0.61
charisma: 0.63
stamina: 0.20
<DM>You are in a long-distance hike through the desert under the scorching sun.</DM>
<Player>I continue walking, but feel my energy draining quickly.</Player>",0.3
"health: 0.70
strength: 0.62
dexterity: 0.58
perception: 0.56
intelligence: 0.64
charisma: 0.62
stamina: 0.15
<DM>You are performing a physically exhausting task for several hours straight, like carrying heavy loads.</DM>
<Player>I continue working even though my muscles ache.</Player>",0.4
"health: 0.78
strength: 0.67
dexterity: 0.63
perception: 0.55
intelligence: 0.60
charisma: 0.65
stamina: 0.10
<DM>You are playing a physically demanding sport for an extended period, like soccer or rugby.</DM>
<Player>I try to keep playing even as I get tired.</Player>",0.25
"health: 0.75
strength: 0.60
dexterity: 0.59
perception: 0.55
intelligence: 0.62
charisma: 0.67
stamina: 0.18
<DM>You are running up a set of stairs, carrying heavy items.</DM>
<Player>I try to keep moving but feel my legs growing weak.</Player>",0.3
"health: 0.80
strength: 0.63
dexterity: 0.59
perception: 0.61
intelligence: 0.64
charisma: 0.62
stamina: 0.12
<DM>You are carrying out a long, drawn-out search through a large, dense forest.</DM>
<Player>I try to keep searching but begin to feel exhausted.</Player>",0.35
"health: 0.75
strength: 0.60
dexterity: 0.55
perception: 0.45
intelligence: 0.70
charisma: 0.85
stamina: 0.60
<DM>You are in a boxing match and must land a knockout punch. </DM>
<Player>I aim carefully and throw a powerful punch.</Player>",0.9
"health: 0.80
strength: 0.75
dexterity: 0.50
perception: 0.65
intelligence: 0.40
charisma: 0.55
stamina: 0.45
<DM>You are running from an enemy in a forest. </DM>
<Player>I use my strength to push through the brush quickly.</Player>",0.6
"health: 0.70
strength: 0.55
dexterity: 0.45
perception: 0.75
intelligence: 0.65
charisma: 0.60
stamina: 0.50
<DM>You are crossing a narrow bridge with a large drop below. </DM>
<Player>I carefully walk across, paying attention to my surroundings.</Player>",0.85
"health: 0.90
strength: 0.80
dexterity: 0.60
perception: 0.65
intelligence: 0.55
charisma: 0.50
stamina: 0.75
<DM>You need to lift a heavy stone to move it out of the way. </DM>
<Player>I apply all my strength to lift the stone.</Player>",0.95
"health: 0.80
strength: 0.45
dexterity: 0.75
perception: 0.85
intelligence: 0.70
charisma: 0.65
stamina: 0.60
<DM>You are stealthily sneaking past guards in a castle. </DM>
<Player>I move quietly, using my agility to avoid detection.</Player>",0.9
"health: 0.70
strength: 0.60
dexterity: 0.40
perception: 0.80
intelligence: 0.75
charisma: 0.50
stamina: 0.50
<DM>You are trying to decipher a complex puzzle to open a locked door. </DM>
<Player>I analyze the puzzle and apply logic to solve it.</Player>",0.85
"health: 0.75
strength: 0.55
dexterity: 0.65
perception: 0.55
intelligence: 0.60
charisma: 0.45
stamina: 0.50
<DM>You are attempting to climb a steep wall. </DM>
<Player>I use my agility to scale the wall.</Player>",0.8
"health: 0.80
strength: 0.75
dexterity: 0.60
perception: 0.45
intelligence: 0.70
charisma: 0.50
stamina: 0.40
<DM>You are lifting weights in the gym to improve your strength. </DM>
<Player>I push myself to complete my reps.</Player>",0.85
"health: 0.65
strength: 0.40
dexterity: 0.55
perception: 0.80
intelligence: 0.75
charisma: 0.70
stamina: 0.60
<DM>You are looking for clues in a dark, dusty library. </DM>
<Player>I keep a sharp eye out for anything important.</Player>",0.9
"health: 0.90
strength: 0.55
dexterity: 0.65
perception: 0.40
intelligence: 0.60
charisma: 0.75
stamina: 0.70
<DM>You need to talk your way past a suspicious guard. </DM>
<Player>I charm the guard with my persuasive skills.</Player>",0.95
"health: 0.80
strength: 0.70
dexterity: 0.60
perception: 0.60
intelligence: 0.65
charisma: 0.40
stamina: 0.45
<DM>You are forging through a dangerous wilderness. </DM>
<Player>I push forward, relying on my strength and endurance.</Player>",0.8
