description,dHealth,dStrength,dDexterity,dPerception,dIntelligence,dCharisma,dStamina
"<DM>The mountain trail is steep, and the air grows thinner as you climb. The rocks beneath your feet are slick with moisture, making each step a challenge.</DM>
 <Player>I press on, carefully testing each step and using my strength to support myself as I ascend the mountain.</Player>
 <DM>Your persistence pays off, and after a long climb, you reach a plateau. The view is breathtaking, and you can see the path ahead leading toward a hidden temple.</DM>",0,0.05,0.05,0,0,0,0
"<DM>You enter a cavern deep underground, where the faint glow of your lantern reveals a maze of twisting paths. The shadows are alive, flickering with the light, and each bend in the tunnel only deepens the confusion in your mind.</DM>
 <Player>I hold my lantern steady and try to focus on the path in front of me, avoiding the flickering shadows that threaten to cloud my judgment.</Player>
 <DM>The flickering shadows warp your perception of the path, leaving you unsure of whether you've passed the same point before or are simply lost in the maze of stone walls.</DM>",0,0,0,-0.1,0,0,0
"<DM>The path before you is lit only by flickering torches. Shadows move along the walls, making it hard to tell whether they belong to you or something else. You hear a soft scraping sound ahead, like something dragging along the stone floor.</DM>
 <Player>I move cautiously, staying close to the wall and listening carefully to determine the source of the sound without revealing my position.</Player>
 <DM>The shadows shift unnaturally, and the scraping sound grows louder, throwing you off balance. The fear of being followed makes it hard to stay focused on your next move.</DM>",0,0,-0.05,-0.05,0,0,0
"<DM>While traveling through a desert, you come across a group of nomads known for their incredible dexterity and survival skills. They invite you to join them in their daily routines, teaching you how to move silently and swiftly across the sand.</DM>
 <Player>I spend time with the nomads, practicing the art of stealth, moving quickly without leaving a trace in the sand.</Player>
 <DM>After several weeks of training, you become more nimble and surefooted, your dexterity improving as you master the delicate balance between speed and silence in the harsh desert terrain.</DM>",0,0,0.2,0,0,0,0
"<DM>As you cross a rickety bridge over a deep chasm, a gust of wind picks up, causing the bridge to sway. The motion disorients you, and the view below is obscured by mist, making it impossible to judge how far down the drop truly is.</DM>
 <Player>I try to steady myself, gripping the ropes tightly and focusing on the next step forward, ignoring the dizziness that the wind causes.</Player>
 <DM>The swaying bridge throws off your sense of balance, and the mist below only deepens the feeling of vertigo. Each movement feels like a step into the unknown.</DM>",0,0,-0.05,-0.1,0,0,0
"<DM>You step onto a narrow ledge and feel it crack beneath your feet as the earth trembles under your weight.</DM>
 <Player>I try to jump off the ledge to land on a safer surface below.</Player>
 <DM>The ledge crumbles beneath you, and you twist your ankle when you land, causing sharp pain to shoot through your foot. </DM>",-0.5,-0.1,-0.1,0,0,0,0
"<DM>The royal court is bustling with activity as you enter, nobles speaking in hushed tones while the king holds court at the center.</DM>
 <Player>I approach the king with a confident yet respectful demeanor, ready to present my case to him.</Player>
 <DM>Your charisma commands attention as the king acknowledges your presence with a raised eyebrow. He gestures for you to speak, intrigued by your poise and confidence.</DM>",0,0,0,0,0,0.2,0
"<DM>The treacherous swamp bubbles beneath you, its murky depths hiding unseen dangers.</DM>
 <Player>I step cautiously, testing each footing before moving forward.</Player>
 <DM>You nearly avoid the danger, but a sharp pain shoots through your leg as something beneath the surface latches onto you before vanishing into the depths. </DM>",-0.1,-0.05,0,0,0,0,0
"<DM>The desert stretches out before you, the sun scorching overhead. The heat is oppressive, and the sand shifts underfoot, making travel slow.</DM>
 <Player>I continue forward, relying on my endurance to keep moving despite the overwhelming heat and fatigue.</Player>
 <DM>Your stamina is tested as you press on, but your determination sees you through. Eventually, you find an oasis, offering much-needed rest and water.</DM>",0.2,0,0,0,0,0,0.3
"<DM>A hidden archer looses an arrow from the trees, the projectile whistling toward you.</DM>
 <Player>I duck and roll, trying to minimize my exposure to the attack.</Player>
 <DM>You move quickly, but not fast enough-the arrow grazes your arm, leaving a deep gash that burns with pain. </DM>",-0.3,-0.01,-0.01,0,0,0,0
"<DM>The mist rolls in thick and fast, swallowing up the path ahead. The sound of distant thunder can be heard, signaling the approach of a storm.</DM>
 <Player>I push forward through the mist, relying on my sense of direction and the faintest sounds to guide me.</Player>
 <DM>Your keen perception allows you to navigate through the fog. You find shelter just as the storm begins, avoiding the worst of the weather.</DM>",0.1,0,0,0,0,0,0.1
"<DM>The road winds through a dark forest, the trees casting long shadows in the pale moonlight. You can hear the faint sound of a river, but it seems to be growing louder as you walk. Up ahead, a flickering light catches your eye.</DM>
 <Player>I move toward the light, hoping it's a source of safety.</Player>
 <DM>You approach cautiously and find a small campfire surrounded by travelers. They look at you with wary eyes, their faces shadowed in the flickering light. ""You're far from the main road,"" one of them says. ""What brings you here?""</DM>",0,0,0,0,0,0,0
"<DM>The small village is quiet, the streets empty except for the occasional passerby. The sun is just beginning to set.</DM>
 <Player>I approach a local, engaging them in conversation to learn more about the village and its history.</Player>
 <DM>Your charisma allows you to form a quick bond with the villager. They share tales of the village's founding and hint at some strange occurrences in the surrounding woods.</DM>",0,0,0,0.01,0.05,0,0
"<DM>The ship's sensors detect a nearby derelict vessel, seemingly abandoned but still transmitting a distress signal. Something doesn't add up.</DM>
 <Player>I approach the ship cautiously, scanning for any signs of life or hostile forces aboard.</Player>
 <DM>You board the ship, and it's eerily quiet inside. The distress signal is coming from the engineering bay, but the crew appears to have vanished. A strange force seems to linger in the air.</DM>",0,0,0,0,0,0,0
"<DM>The royal court is bustling with activity as you enter, nobles speaking in hushed tones while the king holds court at the center.</DM>
 <Player>I approach the king with a confident yet respectful demeanor, ready to present my case to him.</Player>
 <DM>Your charisma commands attention as the king acknowledges your presence with a raised eyebrow. He gestures for you to speak, intrigued by your poise and confidence.</DM>",0,0,0,0,0,0.08,0
"<DM>The roar of the beast is deafening as it charges toward you, its claws slashing at the air.</DM>
 <Player>I try to dodge the claws and get to a safer distance.</Player>
 <DM>You dodge, but the beast's swipe catches you across the chest, leaving deep gashes that sting and bleed as you stumble backward. </DM>",-0.5,-0.08,-0.1,0,0,0,0
"<DM>The dimly lit dungeon is filled with the scent of mildew and damp stone. The distant sound of chains rattling can be heard echoing in the halls.</DM>
 <Player>I cautiously proceed, relying on my perception to listen for any signs of movement or traps ahead.</Player>
 <DM>Your keen hearing picks up the faintest sound of a trap being triggered. You sidestep it just in time and continue deeper into the dungeon.</DM>",0,0,0.05,0.07,0,0,0
"<DM>You enter a cavern deep underground, where the faint glow of your lantern reveals a maze of twisting paths. The shadows are alive, flickering with the light, and each bend in the tunnel only deepens the confusion in your mind.</DM>
 <Player>I hold my lantern steady and try to focus on the path in front of me, avoiding the flickering shadows that threaten to cloud my judgment.</Player>
 <DM>The flickering shadows warp your perception of the path, leaving you unsure of whether you've passed the same point before or are simply lost in the maze of stone walls.</DM>",0,0,0,-0.05,0,0,0
"<DM>The vibrant colors of the coral reef shine through the clear water as you dive deeper, exploring the underwater caves. Fish of every color swim around you, but there's a strange sense of being watched. A faint glow can be seen in the distance.</DM>
 <Player>I swim toward the glow, careful to pace myself and not exhaust my breath too soon.</Player>
 <DM>As you get closer, you find a glowing pearl resting on a bed of coral. It pulses with an otherworldly energy, and the water around it seems to ripple with magic.</DM>",0,0,0,0,0,0,-0.01
"<DM>The spectral figure lets out a piercing wail, its presence sending a chill deep into your bones.</DM>
 <Player>I steel myself against the sound, refusing to succumb to fear.</Player>
 <DM>You stand your ground, but the unnatural force saps the warmth from your body, leaving you drained and shivering. </DM>",-0.1,0,0,0,0,0,-0.1
"<DM>The ancient library stretches in all directions, dusty tomes filling countless shelves that reach toward the vaulted ceiling.</DM>
 <Player>I draw upon my wisdom to recall information about this library's organization system, hoping to find the section containing texts on forbidden magic.</Player>
 <DM>Your knowledge serves you well. You remember reading that this library arranges books by the lunar calendar of their creation. Following this insight, you quickly locate the shadowy alcove housing the forbidden texts.</DM>",0,0,0,0,0.2,0,0
"<DM>The forest is eerily silent, but suddenly, you feel a sharp pain as you step onto a hidden bear trap.</DM>
 <Player>I try to free my foot as quickly as possible, hoping to avoid further injury.</Player>
 <DM>The trap snaps shut tightly, digging deep into your leg. You fight through the pain, but the damage is done as the blood begins to pool. </DM>",-0.4,-0.2,-0.3,0,0,0,0
"<DM>A mystical storm rages overhead, and the sky crackles with lightning. You've been chosen to face a trial set by the gods themselves.</DM>
 <Player>I raise my weapon and stand firm, ready to face whatever challenges the gods have placed before me.</Player>
 <DM>The storm intensifies, and from the clouds above, a figure descends. It's a godly being, its eyes burning with divine fury. The trial begins.</DM>",0,0,0,0,0,0,0
"<DM>A thick iron door blocks your path, its hinges rusted but solid.</DM>
 <Player>I press against it, adjusting my stance and focusing my strength on the weakest points.</Player>
 <DM>At first, the door barely moves, but as you refine your leverage and apply force more efficiently, it groans open inch by inch.</DM>",0,0.1,0,0,0,0,0
"<DM>The storm's fury rages around you as lightning strikes nearby, the shockwave rattling your bones and making the ground tremble.</DM>
 <Player>I try to take cover under a nearby rock outcrop to shield myself from the lightning strikes.</Player>
 <DM>The intense heat from the lightning singes your clothes as you crouch under cover, the force of the strike leaving you disoriented and with a painful burn on your skin. </DM>",-0.2,0,-0.1,0,-0.05,0,0
"<DM>Your crew is on a research mission to study a dying star. As the star collapses, dangerous solar flares begin to erupt.</DM>
 <Player>I initiate the emergency protocols and direct the ship to a safe distance, monitoring the star's behavior closely to avoid any catastrophic radiation bursts.</Player>
 <DM>The flares increase in intensity, and the radiation levels are off the charts. It's a race against time to get the crew to safety before the star collapses completely.</DM>",0,0,0,0,0.2,0,0
"<DM>The room you're in begins to feel smaller, the walls slowly closing in as if they are pushing in on you. The air grows thick, and your chest feels heavy as panic starts to set in.</DM>
 <Player>I fight the panic, focusing on my breathing and reminding myself that I can handle the situation and find a way out.</Player>
 <DM>The walls continue to close in, and the pressure intensifies. You start to question whether you'll be able to escape, and doubt clouds your thoughts as the space becomes increasingly claustrophobic.</DM>",0,0,-0.01,0,-0.05,-0.05,0
"<DM>The dark tower looms before you, its top disappearing into the clouds. A sinister wind blows from within, carrying the faint sounds of whispers.</DM>
 <Player>I step forward confidently, determined to enter the tower and uncover its mysteries, despite the ominous atmosphere.</Player>
 <DM>Your courage is unshaken as you step inside, the door creaking closed behind you. The whispers grow louder, but your resolve remains strong.</DM>",0,0,0,0,0,0.2,0
"<DM>The rushing river before you is wild and unpredictable, its currents strong. A series of slippery rocks provide a possible crossing, but it will take careful footwork to succeed.</DM>
 <Player>I attempt to cross the river by leaping from rock to rock, improving my Dexterity.</Player>
 <DM>Your movements are tested with each jump, but as you progress, your balance and precision improve. The once-daunting task becomes a fluid motion, your body learning the rhythm of the water's challenge.</DM>",0,0,0.2,0,0,0,0
"<DM>The ground beneath you is slick with moisture, and as you step forward, your foot slips slightly. The sound of dripping water echoes, and a faint, strange noise catches your attention. You can't tell whether it's coming from above or below.</DM>
 <Player>I steady myself and listen intently to the noise, trying to determine its source before moving further forward.</Player>
 <DM>The sound shifts unnaturally, making it hard to pinpoint its origin. Every step you take feels more uncertain as your mind races with the possibility of danger.</DM>",0,0,-0.05,-0.05,0,0,0
"<DM>The enchanted forest hums with an eerie energy as you approach a clearing. In the center, an ancient stone altar is surrounded by glowing runes.</DM>
 <Player>I carefully approach the altar, examining the runes for any signs of magical significance before I touch anything.</Player>
 <DM>The runes pulse with a faint light as you get closer. A soft whisper fills the air, warning you of the consequences of disturbing the altar.</DM>",0,0,0,0,0,0,0
"<DM>The town square is busy with merchants, townsfolk, and travelers going about their business. The mood is light and cheerful, with music drifting from a nearby tavern.</DM>
 <Player>I smile warmly at the passing crowd and strike up a conversation with a merchant, asking about the local happenings.</Player>
 <DM>The merchant greets you with a grin, and you quickly form a rapport. They share stories about the town and mention a hidden spot where rare items are sold.</DM>",0,0,0,0,0.01,0.08,0
"<DM>The icy river rushes before you, its current strong and relentless. Crossing will take more than just determination.</DM>
 <Player>I brace myself and wade in, focusing on maintaining control of my movements against the force of the water.</Player>
 <DM>At first, the cold shocks your limbs, and the current threatens to sweep you away, but with each careful step, you learn to navigate its pull. Soon, your footing grows surer, your body adapting to the challenge.</DM>",0,0,0.1,0,0,0,0.01
"<DM>The wind howls as you climb the treacherous mountain path, the air thin and cold at higher elevations.</DM>
 <Player>I push forward with my strength, focusing on each step to reach the summit despite the harsh weather conditions.</Player>
 <DM>Your body aches, but your strength drives you onward. After a grueling climb, you finally reach the peak, and the sight before you takes your breath away.</DM>",0.01,0.05,0,0,0,0,0.05
"<DM>The royal court is filled with nobles and dignitaries, all talking in hushed tones. At the far end of the hall, the king sits on his throne, observing everyone around him.</DM>
 <Player>I approach the throne with grace and composure, bowing respectfully as I address the king with words of diplomacy.</Player>
 <DM>The king raises an eyebrow, impressed by your confidence and eloquence. He nods approvingly and signals for you to come closer, asking for your counsel.</DM>",0,0,0,0,0,0.18,0
"<DM>At the bustling market, traders haggle over goods, each conversation a test of wit and persuasion.</DM>
 <Player>I engage in negotiations, observing their tactics and refining my own approach with each exchange.</Player>
 <DM>Your first attempts meet resistance, but as you listen, you learn to anticipate counteroffers, to read expressions, to craft arguments that leave little room for refusal. Soon, your voice carries weight in the market square.</DM>",0,0,0,0,0,0.19,0
"<DM>The forest is eerily silent, but suddenly, you feel a sharp pain as you step onto a hidden bear trap.</DM>
 <Player>I try to free my foot as quickly as possible, hoping to avoid further injury.</Player>
 <DM>The trap snaps shut tightly, digging deep into your leg. You fight through the pain, but the damage is done as the blood begins to pool. </DM>",-0.4,-0.1,-0.1,0,0,0,0
"<DM>A chilling wind howls through the abandoned castle as you step inside. The walls are lined with decaying tapestries, and the air is thick with dust. At the far end of the hall, a large door stands slightly ajar, its hinges creaking in the wind.</DM>
 <Player>I carefully push the door open, peeking inside to avoid alerting anyone to my presence.</Player>
 <DM>The door creaks loudly as you push it open, revealing a dimly lit chamber. The walls are covered in faded murals depicting long-forgotten kings and queens. In the center of the room lies a throne, but it is empty.</DM>",0,0,0,0,0,0,0
"<DM>As you traverse the rocky cliffs along the coast, a sudden storm picks up, filling the air with rain and wind. The lightning flickers in the distance, briefly illuminating the jagged rocks around you, but it's hard to see through the torrential downpour.</DM>
 <Player>I keep my head low and move carefully, trying to listen for the sound of the sea or any movement around me, but the storm's intensity makes it difficult to tell where I'm going.</Player>
 <DM>The rain falls heavily, and the wind howls. The storm seems to obscure everything, and every crack of thunder feels like it's shaking the very earth beneath your feet.</DM>",0,0,-0.01,-0.08,0,0,0
"<DM>You step into a narrow hallway with walls that seem to close in as you walk further. The space feels claustrophobic, and the air becomes thick with tension, making your mind swirl in uncertainty.</DM>
 <Player>I pause and take a deep breath, focusing on staying calm and reminding myself that I've faced tight spaces before.</Player>
 <DM>The air feels heavier with each step, and the longer you linger in the hallway, the more your confidence wanes. The pressure of the space seems to affect your focus.</DM>",0,0,0,-0.01,-0.01,-0.01,0
"<DM>You find yourself in a room full of mirrors, each reflecting a different version of yourself. The air is thick with a strange energy that makes the room feel alive.</DM>
 <Player>I examine the mirrors closely, trying to identify any subtle differences between the reflections that might hint at a deeper truth.</Player>
 <DM>The reflections shift and change, each showing a different possibility for your future. As you focus on one, the mirror begins to glow, revealing a hidden path behind it.</DM>",0,0,0,0,0,0,0
"<DM>Your ship orbits a massive gas giant, its swirling storms visible from space. A distress signal comes through from a nearby satellite.</DM>
 <Player>I lock onto the signal and set the ship on a course toward the satellite to investigate the source of the distress call.</Player>
 <DM>The satellite is drifting, damaged and barely operational. As you approach, you find the crew's last transmission, warning of an unknown entity lurking in the planet's atmosphere.</DM>",0,0,0,0,0,0,0
"<DM>A master blacksmith watches as you attempt to forge a blade, his eyes scrutinizing your every move.</DM>
 <Player>I carefully hammer the molten metal, adjusting my technique to create a stronger weapon.</Player>
 <DM>The first strikes are clumsy, the metal uneven, but with each correction, your hands become steadier. The rhythm of the hammer feels natural, and the steel hardens under your growing skill.</DM>",0,0,0.19,0,0,0,0.01
"<DM>The sky above you darkens, and a sudden gust of wind sends leaves swirling around you. The wind carries a strange, unfamiliar scent that seems to cloud your thoughts, and you feel disoriented.</DM>
 <Player>I close my eyes for a moment and try to center myself, breathing deeply to regain my focus despite the storm brewing around me.</Player>
 <DM>The wind doesn't subside, and with each gust, your thoughts grow murkier. The confusion clouds your mind, and your confidence begins to dwindle.</DM>",0,0,-0.05,-0.01,-0.01,-0.01,0
"<DM>A long stretch of open road lies ahead, the sun high overhead, and your supplies running low.</DM>
 <Player>I regulate my pace, focusing on efficient movement to conserve my energy for the long journey.</Player>
 <DM>The first miles take their toll, but as you adjust your breathing and stride, the effort becomes smoother, your endurance growing with each step.</DM>",-0.01,0.01,0.01,0,0,0,0.05
"<DM>As you cross a small river, you slip on the moss-covered rocks, falling awkwardly into the cold water below.</DM>
 <Player>I try to twist my body in midair to land on my back and avoid the impact of the water.</Player>
 <DM>You land hard, the water hitting you with force and causing a sharp pain in your shoulder as you crash into the rocks beneath. </DM>",-0.1,-0.01,-0.01,0,0,0,0
"<DM>You're walking through a narrow canyon when a boulder suddenly tumbles from above, striking your leg as you scramble to move out of the way.</DM>
 <Player>I try to leap to the side and avoid being crushed by the falling rock.</Player>
 <DM>You manage to move, but the boulder strikes your leg, causing a sharp pain and a deep bruise. </DM>",-0.1,-0.1,-0.03,0,0,0,0
"<DM>The cavern is massive, with stalactites hanging down like sharp teeth. The walls are slick with moisture, and the sound of dripping water echoes throughout.</DM>
 <Player>I attempt to scale the wall using the stalagmites as handholds, pulling myself up carefully to avoid slipping.</Player>
 <DM>Your grip is firm as you pull yourself up, each movement calculated. You manage to reach the top of the cavern safely, peering into the depths below.</DM>",0,0.05,0.05,0.01,0,0,0
"<DM>The air grows thicker as you enter a cavern filled with strange spores. The spores float in the air, creating a hazy mist that makes it difficult to see clearly. The world around you blurs, and it's hard to tell where you've been or where you're going.</DM>
 <Player>I move cautiously, focusing on any slight change in texture or sound to help guide me through the cavern.</Player>
 <DM>The spores cloud the air, making it difficult to breathe and further muddling your sense of sight. The path ahead is a mystery, and every step feels uncertain.</DM>",-0.01,0,-0.05,-0.15,-0.01,0,0
"<DM>The ship's sensors detect a nearby derelict vessel, seemingly abandoned but still transmitting a distress signal. Something doesn't add up.</DM>
 <Player>I approach the ship cautiously, scanning for any signs of life or hostile forces aboard.</Player>
 <DM>You board the ship, and it's eerily quiet inside. The distress signal is coming from the engineering bay, but the crew appears to have vanished. A strange force seems to linger in the air.</DM>",0,0,0,0,0,-0.01,0
"<DM>You find yourself at a crossroads, the dusty path stretching out before you in two directions. One leads to the mining town, the other to the mountains.</DM>
 <Player>I pause at the crossroads, considering my options carefully and trying to decide which route might offer the most opportunity or danger.</Player>
 <DM>You choose the path to the mining town, hoping to find work or trouble. As you ride through, you spot a familiar face-an old rival now working as a mine guard.</DM>",0,0,0,0,0,0,0
"<DM>A treacherous marsh spreads out before you, its ground shifting unpredictably with each step.</DM>
 <Player>I move carefully, testing the stability of each step and learning how to distribute my weight to avoid sinking.</Player>
 <DM>Your early missteps sink slightly into the muck, but as you refine your movements-learning which ground holds firm and how to shift swiftly-you traverse the marsh with increasing confidence.</DM>",0,0,0.05,0,0,0,0
"<DM>As you walk through the snow-covered tundra, the howling wind makes it difficult to hear anything beyond the rush of air. The snow is so thick it blurs your vision, and even the sun seems dimmed, adding to your confusion.</DM>
 <Player>I focus on the sound of my footsteps in the snow, using them as a guide to keep moving, though the wind makes it hard to be sure of my direction.</Player>
 <DM>The wind howls with increasing intensity, and the snow swirls around you. You can no longer trust your senses as the blizzard distorts the landscape and makes everything appear indistinct.</DM>",0,0,-0.05,-0.2,0,0,0
"<DM>You stand on the edge of a cliff, looking down at a sea of clouds below. The wind howls around you, and for a moment, you lose your sense of balance. It's as if the world itself is spinning around you.</DM>
 <Player>I take a steadying breath and focus on keeping my balance, slowly retreating from the edge to regain my composure.</Player>
 <DM>The spinning sensation intensifies as the wind presses against you. Your sense of equilibrium is thrown off, and you start to doubt whether you can maintain your balance in this chaotic environment.</DM>",0,0,-0.1,-0.1,0,0,0
"<DM>The mansion's doors creak open as you step inside, the sound echoing through the empty halls. The air smells of dust and neglect, but there's an eerie feeling in the atmosphere.</DM>
 <Player>I move through the mansion slowly, keeping an eye out for any signs of danger or hidden traps as I explore.</Player>
 <DM>Your attention to detail reveals a hidden trapdoor beneath a rug. You manage to avoid it, continuing your exploration of the mansion.</DM>",0,0,0,0.1,0.01,0,0
"<DM>The path through the forest becomes treacherous, the ground soft and slippery with moss and fallen leaves. The trees are close together, making it difficult to navigate.</DM>
 <Player>I use my strength to push through the underbrush, forcing my way past the thick trees and vines.</Player>
 <DM>Your muscles strain as you push aside the dense foliage, clearing a path for yourself. Eventually, you break free into a wider clearing.</DM>",0,0.05,0,0,0,0,0
"<DM>You stumble as you cross a narrow bridge, losing your footing as it begins to give way beneath you.</DM>
 <Player>I try to steady myself and grab onto the railing before I fall completely.</Player>
 <DM>Your grip slips, and you crash into the sharp rocks below, taking a painful hit to your side that leaves you winded. </DM>",-0.3,-0.1,-0.05,0,0,0,0
"<DM>You fall into a deep pit hidden beneath the forest floor, the jagged rocks at the bottom catching you off guard.</DM>
 <Player>I brace myself for impact, trying to roll as I hit the ground to minimize the damage.</Player>
 <DM>You hit the bottom hard, scraping your back and bruising your ribs as you struggle to catch your breath. </DM>",-0.3,0,0,0,0,0,0
"<DM>The royal banquet hall is filled with nobles, the sound of laughter and conversation echoing around the lavish room. The queen sits at the head of the table, observing her guests.</DM>
 <Player>I approach the queen with grace, bowing respectfully and engaging her in conversation about the recent events in the kingdom.</Player>
 <DM>The queen nods with a smile, impressed by your poise and tact. She invites you to sit beside her, sharing her thoughts on the kingdom's future.</DM>",0,0,0,0,0,0.05,0
"<DM>You enter a dark cave and feel the air become thick with tension. Strange whispers echo around you, though you can't tell where they're coming from. The voices grow louder, and your thoughts start to jumble together.</DM>
 <Player>I try to block out the whispers and focus on the path ahead, hoping to ignore the disorienting effect.</Player>
 <DM>The whispers become harder to ignore, and your sense of self begins to falter. Your confidence starts to slip away as your mind struggles to make sense of what's real.</DM>",0,0,0,-0.01,-0.05,-0.1,0
"<DM>As you approach a massive, ancient tree, the ground shakes beneath your feet, and the branches above you sway erratically, casting strange shadows. The sight feels disorienting, and you struggle to make sense of what's happening.</DM>
 <Player>I take a step back and focus on the tree's base, trying to steady my mind and ignore the overwhelming sensation around me.</Player>
 <DM>The tree's unsettling movement continues to unnerve you, and the more you try to focus, the less confident you feel about your next steps.</DM>",0,-0.01,-0.01,-0.05,-0.01,-0.01,0
"<DM>You're on a colony world, and tensions are rising as strange occurrences begin to happen-unexplained disappearances and mysterious messages from deep space.</DM>
 <Player>I investigate the colony's communications network, looking for clues that might explain the strange occurrences and uncover any hidden threats.</Player>
 <DM>You find encrypted messages hinting at a covert operation involving alien artifacts. As you dig deeper, the situation becomes more dangerous.</DM>",0,0,0,0,0.05,0,0
"<DM>As you approach a massive, ancient tree, the ground shakes beneath your feet, and the branches above you sway erratically, casting strange shadows. The sight feels disorienting, and you struggle to make sense of what's happening.</DM>
 <Player>I take a step back and focus on the tree's base, trying to steady my mind and ignore the overwhelming sensation around me.</Player>
 <DM>The tree's unsettling movement continues to unnerve you, and the more you try to focus, the less confident you feel about your next steps.</DM>",0,-0.01,-0.01,-0.05,-0.01,-0.01,0
"<DM>A grand feast is underway, and the room is filled with noble guests engaged in conversation.</DM>
 <Player>I join a nearby discussion, reading the social cues and adjusting my approach to fit in naturally.</Player>
 <DM>At first, the flow of conversation eludes you, but as you observe and respond with growing confidence, you find yourself seamlessly part of the exchange.</DM>",0,0,0,0,0,0.05,0
"<DM>The hot desert sun beats down on you as you cross the barren dunes. The sand stretches endlessly in every direction, and there's no sign of life. The air shimmers with heat, and your mouth is dry from thirst.</DM>
 <Player>I keep my head down and continue moving toward the distant oasis, trying to conserve my energy and stay hydrated as best as I can.</Player>
 <DM>As you press on, you spot the shimmer of an oasis in the distance. It seems like a mirage, but as you get closer, it becomes clearer, and you can see the edge of a lush, green pool of water.</DM>",0,0,0,0,0,0,0.3
